'美洲虎周圍','美洲虎周圍','Atari jaguar'
'每年x','每年x','Atari lynx'
'azo雄','azo雄','Kazoo'
'藏紅花番紅花','藏紅花番紅花','Saffron crocus'
'鉛筆裙','鉛筆裙','Pencil skirt'
'Zenvo ST','Zenvo ST','Zenvo ST'
'航展','航展','Air show'
'勞動節','勞動節','May day'
'反光相機','反光相機','Reflex camera'
'水壺','水壺','Water bottle'
'無酵餅','無酵餅','Unleavened bread'
'遊行的想法','遊行的想法','Ides of march'
'簡·簡','簡·簡','Jean short'
'包子（照片d）','包子（照片d）','Bun (Food)'
'可卡犬','可卡犬','Cocker spaniel'
'巨型淡水黃貂魚','巨型淡水黃貂魚','Giant freshwater stingray'
'鳳冠企鵝','鳳冠企鵝','Rockhopper penguin'
'甘菊','甘菊','Camomile'
'比格','比格','Beaglier'
'膜電話','膜電話','Membranophone'
'唱機','唱機','Chordophone'
'管樂器','管樂器','Wind instrument'
'手裡劍','手裡劍','Shuriken'
'葫蘆','葫蘆','Gourd'
'纖維','纖維','Fiber'
'烤寬麵條','烤寬麵條','Lasagne'
'烏龜','烏龜','Tortoise'
'定巴尼','定巴尼','Timpani'
'阿富汗獵犬','阿富汗獵犬','Afghan hound'
'球隊','球隊','Team'
'豬油','豬油','Lard'
'黃蜂','黃蜂','Vespa'
'狂歡節','狂歡節','Mardi Gras'
'Azawakh','Azawakh','Azawakh'
'絲絨','絲絨','Velvet'
'攜帶','攜帶','Porter'
'丙烯酸塗料','丙烯酸塗料','Acrylic paint'
'擴音器','擴音器','Idiophone'
'馬德里鱷蜥蜴','馬德里鱷蜥蜴','Madrean Alligator Lizard'
'容器','容器','Container'
'廣告','廣告','Advertising'
'媒體播放器','媒體播放器','Media player'
'地峽','地峽','Isthmus'
'土撥鼠日','土撥鼠日','Groundhog day'
'酥皮','酥皮','Meringue'
'激光二極管','激光二極管','Laser diode'
'映山紅','映山紅','Azalea'
'花生醬和果凍三明治','花生醬和果凍三明治','Peanut butter and jelly sandwich'
'ura歌','ura歌','Acura'
'彩繪玻璃','彩繪玻璃','Stained glass'
